ID,CIDADE
003,ADAMANTINA
005,ADOLFO
007,AGUAÍ
009,ÁGUAS DA PRATA
011,ÁGUAS DE LINDÓIA
533,ÁGUAS DE SANTA BÁRBARA
013,ÁGUAS DE SÃO PEDRO
015,AGUDOS
060,ALAMBARI
017,ALFREDO MARCONDES
019,ALTAIR
021,ALTINÓPOLIS
023,ALTO ALEGRE
024,ALUMÍNIO
025,ÁLVARES FLORENCE
027,ÁLVARES MACHADO
029,ÁLVARO DE CARVALHO
031,ALVINLÂNDIA
033,AMERICANA
035,AMÉRICO BRASILIENSE
037,AMÉRICO DE CAMPOS
039,AMPARO
041,ANALÂNDIA
043,ANDRADINA
045,ANGATUBA
047,ANHEMBI
049,ANHUMAS
051,APARECIDA
053,APARECIDA D'OESTE
055,APIAÍ
028,ARAÇARIGUAMA
057,ARAÇATUBA
059,ARAÇOIABA DA SERRA
061,ARAMINA
063,ARANDU
066,ARAPEÍ
065,ARARAQUARA
067,ARARAS
108,ARCO-ÍRIS
069,AREALVA
071,AREIAS
073,AREIÓPOLIS
075,ARIRANHA
077,ARTUR NOGUEIRA
079,ARUJÁ
054,ASPÁSIA
081,ASSIS
083,ATIBAIA
085,AURIFLAMA
087,AVAÍ
089,AVANHANDAVA
091,AVARÉ
093,BADY BASSITT
095,BALBINOS
097,BÁLSAMO
099,BANANAL
103,BARÃO DE ANTONINA
101,BARBOSA
105,BARIRI
107,BARRA BONITA
038,BARRA DO CHAPÉU
109,BARRA DO TURVO
111,BARRETOS
113,BARRINHA
115,BARUERI
117,BASTOS
119,BATATAIS
121,BAURU
123,BEBEDOURO
125,BENTO DE ABREU
127,BERNARDINO DE CAMPOS
030,BERTIOGA
129,BILAC
131,BIRIGUI
133,BIRITIBA MIRIM
135,BOA ESPERANÇA DO SUL
137,BOCAINA
139,BOFETE
141,BOITUVA
143,BOM JESUS DOS PERDÕES
080,BOM SUCESSO DE ITARARÉ
145,BORÁ
147,BORACÉIA
148,BORBOREMA
004,BOREBI
149,BOTUCATU
150,BRAGANÇA PAULISTA
151,BRAÚNA
110,BREJO ALEGRE
152,BRODOWSKI
153,BROTAS
154,BURI
155,BURITAMA
156,BURITIZAL
157,CABRÁLIA PAULISTA
158,CABREÚVA
159,CAÇAPAVA
160,CACHOEIRA PAULISTA
161,CACONDE
162,CAFELÂNDIA
163,CAIABU
164,CAIEIRAS
165,CAIUÁ
166,CAJAMAR
050,CAJATI
167,CAJOBI
168,CAJURU
052,CAMPINA DO MONTE ALEGRE
169,CAMPINAS
170,CAMPO LIMPO PAULISTA
171,CAMPOS DO JORDÃO
172,CAMPOS NOVOS PAULISTA
173,CANANÉIA
112,CANAS
174,CÂNDIDO MOTA
175,CÂNDIDO RODRIGUES
036,CANITAR
176,CAPÃO BONITO
177,CAPELA DO ALTO
178,CAPIVARI
179,CARAGUATATUBA
180,CARAPICUÍBA
181,CARDOSO
182,CASA BRANCA
183,CÁSSIA DOS COQUEIROS
184,CASTILHO
185,CATANDUVA
186,CATIGUÁ
187,CEDRAL
188,CERQUEIRA CÉSAR
189,CERQUILHO
190,CESÁRIO LANGE
191,CHARQUEADA
192,CHAVANTES
193,CLEMENTINA
194,COLINA
195,COLÔMBIA
196,CONCHAL
197,CONCHAS
198,CORDEIRÓPOLIS
199,COROADOS
200,CORONEL MACEDO
201,CORUMBATAÍ
202,COSMÓPOLIS
203,COSMORAMA
204,COTIA
205,CRAVINHOS
206,CRISTAIS PAULISTA
207,CRUZÁLIA
208,CRUZEIRO
209,CUBATÃO
210,CUNHA
211,DESCALVADO
212,DIADEMA
014,DIRCE REIS
213,DIVINOLÂNDIA
214,DOBRADA
215,DOIS CÓRREGOS
216,DOLCINÓPOLIS
217,DOURADO
218,DRACENA
219,DUARTINA
220,DUMONT
221,ECHAPORÃ
222,ELDORADO
223,ELIAS FAUSTO
078,ELISIÁRIO
020,EMBAÚBA
224,EMBU
225,EMBU-GUAÇU
040,EMILIANÓPOLIS
070,ENGENHEIRO COELHO
456,ESPÍRITO SANTO DO PINHAL
016,ESPÍRITO SANTO DO TURVO
068,ESTIVA GERBI
227,ESTRELA DO NORTE
226,ESTRELA D'OESTE
002,EUCLIDES DA CUNHA PAULISTA
228,FARTURA
230,FERNANDO PRESTES
229,FERNANDÓPOLIS
130,FERNÃO
231,FERRAZ DE VASCONCELOS
232,FLORA RICA
233,FLOREAL
234,FLÓRIDA PAULISTA
235,FLORÍNEA
236,FRANCA
237,FRANCISCO MORATO
238,FRANCO DA ROCHA
239,GABRIEL MONTEIRO
240,GÁLIA
241,GARÇA
242,GASTÃO VIDIGAL
132,GAVIÃO PEIXOTO
243,GENERAL SALGADO
244,GETULINA
245,GLICÉRIO
246,GUAIÇARA
247,GUAIMBÉ
248,GUAÍRA
249,GUAPIAÇU
250,GUAPIARA
251,GUARÁ
252,GUARAÇAÍ
253,GUARACI
254,GUARANI D'OESTE
255,GUARANTÃ
256,GUARARAPES
257,GUARAREMA
258,GUARATINGUETÁ
259,GUAREÍ
260,GUARIBA
261,GUARUJÁ
262,GUARULHOS
012,GUATAPARÁ
263,GUZOLÂNDIA
264,HERCULÂNDIA
076,HOLAMBRA
074,HORTOLÂNDIA
265,IACANGA
266,IACRI
010,IARAS
267,IBATÉ
268,IBIRÁ
269,IBIRAREMA
270,IBITINGA
271,IBIÚNA
272,ICÉM
273,IEPÊ
274,IGARAÇU DO TIETÊ
275,IGARAPAVA
276,IGARATÁ
277,IGUAPE
102,ILHA COMPRIDA
022,ILHA SOLTEIRA
278,ILHABELA
279,INDAIATUBA
280,INDIANA
281,INDIAPORÃ
282,INÚBIA PAULISTA
283,IPAUSSU
284,IPERÓ
285,IPEÚNA
126,IPIGUÁ
286,IPORANGA
287,IPUÃ
288,IRACEMÁPOLIS
289,IRAPUÃ
290,IRAPURU
291,ITABERÁ
292,ITAÍ
293,ITAJOBI
294,ITAJU
295,ITANHAÉM
062,ITAOCA
296,ITAPECERICA DA SERRA
297,ITAPETININGA
298,ITAPEVA
299,ITAPEVI
300,ITAPIRA
096,ITAPIRAPUÃ PAULISTA
301,ITÁPOLIS
302,ITAPORANGA
303,ITAPUÍ
304,ITAPURA
