CIDADE,CARGO,NOME_URNA,NOME,STATUS,PARTIDO,COLIGAÇÃO,VOTOS
EUCLIDES DA CUNHA PAULISTA,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,3330
EUCLIDES DA CUNHA PAULISTA,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,1933
ADAMANTINA,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,7883
ADAMANTINA,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,11950
BOREBI,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,580
BOREBI,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,804
ADOLFO,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,1383
ADOLFO,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,1036
TARUMÃ,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,3958
TARUMÃ,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,3541
AGUAÍ,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,8041
AGUAÍ,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,8706
MOTUCA,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,1244
MOTUCA,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,1322
ÁGUAS DA PRATA,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,1634
ÁGUAS DA PRATA,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,2839
IARAS,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,1404
IARAS,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,1029
ÁGUAS DE LINDÓIA,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,2643
ÁGUAS DE LINDÓIA,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,7038
GUATAPARÁ,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,2026
GUATAPARÁ,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,1498
ÁGUAS DE SÃO PEDRO,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,612
ÁGUAS DE SÃO PEDRO,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,1841
DIRCE REIS,PRESIDENTE,DILMA,DILMA VANA ROUSSEFF,ELEITO,PT,PARA O BRASIL SEGUIR MUDANDO,587
DIRCE REIS,PRESIDENTE,JOSÉ SERRA,JOSÉ SERRA,NÃO ELEITO,PSDB,O BRASIL PODE MAIS,578
